nb  ,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
1,生活,せいかく,cuộc sống,tính cách,cuộc sống,Mối quan hệ,cuộc sống,健康的な生活を送る,Sống một cuộc sống khoẻ mạnh,ベトナム語,N3
2,進学,しんがく,vào đại học,vào đại học,lý tưởng,cảm giác,vào đại học,子供の進学について考える,Suy nghĩ về việc học cao hơn của con bạn,ベトナム語,N3
3,出身,しゅっしん,quê quán,thua,quê quán,không giữ,quê quán,ご出身はどちらですか,Bạn đến từ đâu,ベトナム語,N3
4,成長,せいちょう,trưởng thành ,đón,tích cực,trưởng thành ,trưởng thành ,子供の成長を喜ぶ,Vui mừng vì sự trưởng thành của con bạn,ベトナム語,N3
5,帰宅,きたく,về nhà,sự bắt đầu,về nhà,tha thứ,về nhà,毎日忙しくて帰宅が遅い,Ngày nào tôi cũng bận và về nhà muộn,ベトナム語,N3
6,知り合い,しりあい,người quen biết,sự kết thúc,"thay,đổi",người quen biết,người quen biết,知り合いに息子の就職を頼む。,Nhờ người quen tìm việc cho con trai,ベトナム語,N3
7,仲,なか,bạn bè tốt,bạn bè tốt,trả lại,thái độ,bạn bè tốt,私は山内と仲がいい。,Tôi là bạn tốt của yamauchi,ベトナム語,N3
8,面接,めんせつ,phỏng vấn,chia,phỏng vấn,thực tế,phỏng vấn,今日、会社の人との面接がある,Hôm nay tôi có cuộc phỏng vấn với một người ở công ty,ベトナム語,N3
9,成功,せいこう,thành công,thành công,Con trai cả,đau đầu,thành công,実験に成功する,Thành công trong thí nghiệm,ベトナム語,N3
10,失敗,しっぱい,thất bại,cười,thất bại,dư dã,thất bại,実験の失敗で、計画はちゅうしになった,Thí nghiệm thất bại,ベトナム語,N3
11,未来,みらい,tương lai,sự đau thương,tương lai,ổn định,tương lai,誰も未来のことは分からない,Cô ấy tâm huyết với việc giáo dục trẻ em,ベトナム語,N3
12,熱心,ねっしんな,nhiệt tình,thoã mãn,nhiệt tình,lo lắng,nhiệt tình,彼女は子供の教育に熱心だ,Chân tôi bị trượt,ベトナム語,N3
13,夢中,むちゅうな,say sưa,bất mãn,anh em họ,say sưa,say sưa,彼は生まれたばかりの子供に夢中だ,Anh ấy say sưa vì đứa con mới chào đời,ベトナム語,N3
14,健康,けんこう,sức khoẻ,bất an,sức khoẻ,phát triển,sức khoẻ,毎日運動をしていたら、とても健康になった,Tập thể dục hàng ngày,ベトナム語,N3
15,苦しい,くるしい,cực khổ,"Bọc,gói",cực khổ,hỗn loạn,cực khổ,経営がうまくいかず、社長はくるしい立場におかれた。,Ban lãnh đạo công ty vốn đã trở nên rất khoẻ,ベトナム語,N3
16,満足,まんぞく,lạc thú,Dán,họ hàng,lạc thú,lạc thú,頑張ったので２いでも満足だ。,Tôi đã làm việc chăm chỉ nên cô ấy hài lòng,ベトナム語,N3
17,滑る,すべる,trượt ,Hết,trượt ,xúc động,trượt ,足が滑った。,Chân tôi bị trượt,ベトナム語,N3
18,下がる,さがる,hạ xuống,Làm mất,hạ xuống,thiết thực,hạ xuống,白線の内側に下がってお待ちください,Vui lòng đứng lùi vào trong vạch trắng và đợi,ベトナム語,N3
19,数える,かぞえる,Số đếm,Số đếm,Người yêu,thống nhất,受付,かずを数える,Nếu vay tiền thì việc trả lại là điều đương nhiên.,ベトナム語,N3
20,悩む,なやむ,kho,Trễ,kho,thiếu,kho,どれにしようと悩んだあけく何にもしないになる,"Trong khi điều tra vụ tai nạn, một sự thật đáng ngạc nhiên đã được phát hiện.",ベトナム語,N3
21,集まり,あつまり,tập trung,từ chối,Đối phương,tập trung,tập trung,あしたじゅう人のあつまり,Cô ấy là người rất thời trang,ベトナム語,N3
22,踊り,おどり,nhảy múa,mời,nhảy múa,truyền thống,nhảy múa,留学生ががっごくを踊り,Sinh viên quốc tế ,ベトナム語,N3
23,思い,おもい,"nghĩ,cảm nhận","nghĩ,cảm nhận",tính cách,tích cực,"nghĩ,cảm nhận",あの人に私の思いが届いて,Cảm xúc của tôi đã chạm tới người đó,ベトナム語,N3
24,手伝って,てつだって,Giúp đỡ,Giúp đỡ,giống trẻ con,bình quân ,Giúp đỡ,引っ越しのてつだいをする,Anh ấy là người được mền mộ nhất lớp.,ベトナム語,N3
25,働き,はたらき,làm việc,không giữ,làm việc,"thay,đổi",làm việc,私のアルバトはミニストップではたらきます。,Thu nhận nhiều thông tin từ tivi,ベトナム語,N3
26,騒ぎ,さわぎ,náo loạn,tuân theo,náo loạn,trả lại,náo loạn,今日、駅前で騒ぎがあって。,Không thể kiếm được thu nhập thỏa đáng chỉ bằng cách làm việc bán thời gian.,ベトナム語,N3
27,知らせ,しらせ,thông báo,thông báo,tính cách vui vẻ,cho phép,thông báo,ちちが入院したという知らせがあった。,Tôi không có phàn nàn gì về công việc này.,ベトナム語,N3
28,疲れ,つかれ,mệt mỏi,vỗ,mệt mỏi,Con trai cả,mệt mỏi,仕事で疲れが溜まっている,Tôi nhận được email lạ nên xóa ngay,ベトナム語,N3
29,続き,つづき,sự tiếp tục,sự tiếp tục,lạnh lùng,Con gái cả,sự tiếp tục,早く本の続きがよみたい。,Một câu chuyện bí ẩn được kể ở ngôi làng đó.,ベトナム語,N3
30,暮れ,くれ,"chiều ,cuối",thực tế,chi tiết,"chiều ,cuối","chiều ,cuối",としの暮れはいそがしい,Chi 100 man mal say nhà thi là chuyên,ベトナム語,N3
31,急ぎ,いそぎ,khẩn cấp,khẩn cấp,tích cực,con một,khẩn cấp,急ぎの仕事が入ります,vào làm việc khẩn cấp,ベトナム語,N3
32,負け,まけ,thua,dư dã,bình quân ,thua,thua,負けが続いて、いやになって,Cửa hàng bách hóa đông đúc người.,ベトナム語,N3
33,迎え,むかえ,đón,ổn định,đón,Người cháu,đón,むかえの車がなかなか来ない,Đường tắc nghẽn và tôi đến cuộc họp muộn.,ベトナム語,N3
34,始まり,まじまり,sự bắt đầu,sự bắt đầu,trả lại,anh em sinh đôi,sự bắt đầu,えいがの始まりに間に合わなかった,Tôi đã nhìn thấy hiện trường vụ va chạm tàu ​​hỏa.,ベトナム語,N3
35,終わり,おわり,sự kết thúc,đông đúc,sự kết thúc,họ hàng,sự kết thúc,夏休みはもうすぐ終わった,Thiệt hại do bão,ベトナム語,N3
36,戻り,もどり,trở lại,phát triển,trở lại,vợ chồng ,trở lại,今日のもどりは3時ごろになります。,Điều tra nguyên nhân vụ tai nạn.,ベトナム語,N3
37,別れ,わかれ,chia,chia,Con gái cả,bạn thân,chia,にほんでは3月は別れの季節,Có một vụ việc trẻ em lần lượt biến mất trong khu phố.,ベトナム語,N3
38,喜び,よろこび,sự phấn khởi,cơ bản,Con út,sự phấn khởi,sự phấn khởi,優勝できて喜びいっぱいだ。,Đang học tiếng anh nhưng không tiến bộ,ベトナム語,N3
39,笑い,わらい,cười,xúc động,cười,đồng nghiệp,cười,歌手の会場に笑いが起きた。,Máy tính của tôi bị hỏng nên tôi gửi nó đi sửa.,ベトナム語,N3
40,悲しみ,かなしみ,sự đau thương,sự đau thương,anh em họ,Đối phương,sự đau thương,悲しみを力に返る。,Nó có xu hướng trở nên nặng nề và mất điện.,ベトナム語,N3
41,満足な,まんぞく,thoã mãn,thống nhất,thoã mãn,người quen,thoã mãn,アルバイトだけでは満足なしゅうにはえらない。,Tôi rất lo lắng trong cuộc phỏng vấn và không thể trả lời tốt.,ベトナム語,N3
42,不満な,ふまんな,bất mãn,bất mãn,anh em sinh đôi,tính cách,bất mãn,このしごとは不満な点がない。,Tôi tự tin vào sức mạnh thể chất của mình,ベトナム語,N3
43,不安な,ふあんな,bất an,lý tưởng,họ hàng,bất an,bất an,最近、体の調子が良くない、悪いひようきではないかと不安だ,làm món ăn đặc biệt của riêng bạn,ベトナム語,N3
44,包む,つつむ,"Bọc,gói",truyền thống,"Bọc,gói",Tính cách xấu,"Bọc,gói",残ったお菓子を包んで持って帰る,Tôi rất ấn tượng với tốc độ tiến bộ của Chin.,ベトナム語,N3
45,張る,はる,Dán,tích cực,Dán,tính cách rầu rĩ,Dán,はがきに切ってを張る,Quan điểm của bạn là gì?,ベトナム語,N3
46,無くなる,なくなる,Hết,bình quân ,đủ,Hết,Hết,へやかぎがなくなってしまった。,Thật là tuyệt.,ベトナム語,N3
47,無くす,なくす,Làm mất,Làm mất,đánh rơi,tính chất đàn ông,Làm mất,本を無くす,dự đoán kết quả bầu cử,ベトナム語,N3
48,足りる,たりる,Đủ,thừa,Đủ,lạnh lùng,Đủ,4語で足りる,Tôi đang nghiên cứu chính trị Nhật Bản tại trường đại học.,ベトナム語,N3
49,遅刻,ちこく,Trễ,đến,Trễ,chi tiết,Trễ,今日は学校遅刻した,làm nghiên cứu,ベトナム語,N3
50,断る,ことわる,từ chối,từ chối,thực tế,tính cách,từ chối,私はその金を受け取ることを断った,Hiện cảnh sát đang điều tra nguyên nhân vụ tai nạn,ベトナム語,N3
51,誘う,さそう,mời,Con gái cả,mời,khẩn cấp,mời,りさんを映画に誘う,Người không chủ ý (bất cần),ベトナム語,N3
52,間柄,あいだがら,Mối quan hệ,Mối quan hệ,dư dã,thua,Mối quan hệ,あの方と私は指定の間柄です,Biên dịch tiểu thuyết tiếng nhật sang tiếngJanh,ベトナム語,N3
53,感じる,かんじる,cảm giác,con một,ổn định,cảm giác,cảm giác,足が痺れて感じがなくなる,ngồi quanh một cái bàn,ベトナム語,N3
54,破る,やぶる,không giữ,anh em họ,không giữ,sự bắt đầu,không giữ,政界記録を破る,Công việc này không có điểm gì không hải,ベトナム語,N3
55,守る,まもる,tuân theo,Người cháu,đông đúc,tuân theo,tuân theo,車を止まる場所が守る,Nó nặng vì chứa rất nhiều đồ Đóng đồ vào túi xách,ベトナム語,N3
56,許す,ゆるす,tha thứ,tha thứ,phát triển,trở lại,tha thứ,お母さんの悪口は私が許す,cánh cửa mở ra,ベトナム語,N3
57,叩く,たたく,vỗ,họ hàng,vỗ,chia,vỗ,子供の頃はよく母親にお尻を叩く,Cửa thang máy đóng lại và một con chim bay trên bầu trời,ベトナム語,N3
58,態度,たいど,thái độ,thái độ,cơ bản,sự phấn khởi,thái độ,相手の方の態度悪い,lái máy bay giấy,ベトナム語,N3
59,実際,じっさい,thực tế,bạn thân,thực tế,cười,thực tế,実際の写真です,vẫy tay,ベトナム語,N3
60,頭痛,ずつう,đau đầu,đau đầu,thiết thực,sự đau thương,đau đầu,今日　頭を頭痛です,lật thẻ,ベトナム語,N3
61,余裕,よゆう,dư dã,đồng nghiệp,dư dã,thoã mãn,dư dã,どうしてそんな高いものを買い余裕があった,Tôi tình cờ gặp lại một người bạn cũ ở thị trấn.,ベトナム語,N3
62,安定,あんてい,ổn định,Đối phương,thiếu,ổn định,ổn định,アジアの安定につながる,Tôi gọi cho người nhận để xem fax đã đến chưa.,ベトナム語,N3
63,緊張,きんちょう,lo lắng,lo lắng,lý tưởng,bất an,lo lắng,ハッピオの前緊張する,Đừng lặp lại sai lầm tương tự bằng cách thử quần áo để xem chúng có phù hợp với bạn hay không,ベトナム語,N3
64,混雑,こんざつ,đông đúc,tính cách,đông đúc,"Bọc,gói",đông đúc,らめん店の前混雑だ,tiến hành một bài kiểm tra,ベトナム語,N3
65,発達,はったつ,phát triển,giống trẻ con,tích cực,phát triển,phát triển,きゅうそくな情報通信技術の発達,phép tính này sai,ベトナム語,N3
66,混乱,こんらん,hỗn loạn,Tính cách xấu,hỗn loạn,Hết,hỗn loạn,デバートは大混乱だった,Tôi đã trả lời sai trong bài kiểm tra,ベトナム語,N3
67,基本,きほん,cơ bản,cơ bản,"thay,đổi",Làm mất,cơ bản,基本的人権,Muốn sống cuộc sống thoải mái hơn 1 chút,ベトナム語,N3
68,感動,かんどう,xúc động,xúc động,trả lại,Đủ,xúc động,深い感動,Việc tham dự thi không cần thiết thủ tục,ベトナム語,N3
69,堅実,けんじつ,thiết thực,tính chất đàn ông,thiết thực,Trễ,thiết thực,堅実なやり方,Chi làm thêm thì không thể nhận được nhập,ベトナム語,N3
70,一様,いつち,thống nhất,lạnh lùng,thống nhất,từ chối,thống nhất,一様　でない環境,Người kia mắc lỗi nên tôi đã tha thứ cho họ.,ベトナム語,N3
71,不足,ふそく,thiếu,chi tiết,Con gái cả,thiếu,thiếu,睡眠不足,Tự nghĩ lại một ngày để viết nhật ký,ベトナム語,N3
72,理想,りそう,lý tưởng,vỗ,lý tưởng,Mối quan hệ,lý tưởng,社会正義の理想,Kế hoạch này thì khó thực hiện,ベトナム語,N3
73,伝統,でんとう,truyền thống,thái độ,truyền thống,cảm giác,truyền thống,伝統を重知る,Hãy đứng lên khi được gọi tên.,ベトナム語,N3
74,積極,せっきょく,tích cực,tích cực,anh em họ,không giữ,tích cực,大きい問題があって積極する,đặt ăng-ten trên mái nhà,ベトナム語,N3
75,平均,へいきん,bình quân ,đau đầu,Người cháu,bình quân ,bình quân ,彼らは一日平均8時間働く,Rất khó để xây nhà ở trung tâm thành phố khi các chung cư lớn đã được xây dựng trước nhà.,ベトナム語,N3
76,取り替える,とりかえる,"thay,đổi",dư dã,"thay,đổi",tha thứ,"thay,đổi",部品を取り替える,Lúa sinh trưởng tốt trong những năm có nhiều mưa.,ベトナム語,N3
77,帰る,かえる,trả lại,trả lại,họ hàng,vỗ,trả lại,学校がおわるとすぐに帰ります,Vì con sông này nông nên dù bọn trẻ có hơi,ベトナム語,N3
78,許す,ゆる,cho phép,lo lắng,vợ chồng ,cho phép,cho phép,ゆる,cũng không nguy hiểm,ベトナム語,N3
79,長男,ちょうなん,Con trai cả,Con trai cả,bạn thân,thực tế,Con trai cả,人兄弟の長男として生まれる,Bánh mì này rất cứng,ベトナム語,N3
80,長女,ちょうじょ,Con gái cả,phát triển,Con gái cả,đau đầu,Con gái cả,私、女ばかり3人姉妹の長女だ,Coffee nguội thì không ngon,ベトナム語,N3
81,末っ子,すえっこ,Con út,hỗn loạn,đồng nghiệp,Con út,Con út,私両親　弟すえっこ,Sau khi kéo rèm ra thì mặt trời đã chói,ベトナム語,N3
82,一人っ子,ひとりっこ,con một,cơ bản,con một,ổn định,con một,ハンさん一人って,Phu hợp mãi không có,ベトナム語,N3
83,従兄弟,いとこ,anh em họ,anh em họ,người quen,lo lắng,anh em họ,あの村には不思議な話が伝わっている,Cá tươi thi ngon,ベトナム語,N3
84,孫,まご,Người cháu,thiết thực,Người cháu,đông đúc,Người cháu,息子を孫からしばらくかいほうしてあげることができる,vứt đi trang phục,ベトナム語,N3
85,双子,ふたご,anh em sinh đôi,anh em sinh đôi,giống trẻ con,phát triển,anh em sinh đôi,横に湯合している双子,còn có thể mặc thi lãng phi,ベトナム語,N3
86,親戚,しんせき,họ hàng,thiếu,Tính cách xấu,họ hàng,họ hàng,うちの親戚はみんな近くに住んでいる,Tự nhiên phong phủ,ベトナム語,N3
87,夫婦,ふうふ,vợ chồng ,lý tưởng,vợ chồng ,cơ bản,vợ chồng ,夫婦生活によって人の性格も変わる,tham quan này chắc khoảng 5000 người.,ベトナム語,N3
88,親友,しんゆう,bạn thân,truyền thống,bạn thân,xúc động,bạn thân,私は3人親友がある,Con số chính xác thì không biết nhưng mà,ベトナム語,N3
89,恋人,こいびと,Người yêu,tích cực,Người yêu,thiết thực,Người yêu,しっと深い恋人,"Người tài giỏi (ra dáng, tuyệt vời)",ベトナム語,N3
90,仲間,なかま,đồng nghiệp,bình quân ,đồng nghiệp,thống nhất,đồng nghiệp,あんなわがままなやつを仲間にするは反対だ,Quê hương tôi thi nông nghiệp đã rất thành,ベトナム語,N3
91,相手,あいて,Đối phương,Đối phương,chi tiết,thiếu,Đối phương,自分のことだけでなく、相手のことも考えよう,Bảo chỉ phải truyềển tài chỉ những việc thựctế được xác minh thôi,ベトナム語,N3
92,知り合い,しりあい,người quen,thừa,từ chối,người quen,người quen,知り合いになってもらっていいですか,Hôm nay thì có cuộc họp quan trọng tử,ベトナム語,N3
93,性格,せいかく,tính cách,đến,tính cách,truyền thống,tính cách,あけっぴろげな性格,Cho dù không còn thịnh hành nữa nhưng,ベトナム語,N3
94,子供っぽい,こどもっぽい,giống trẻ con,giống trẻ con,Mối quan hệ,tích cực,giống trẻ con,あの女は顔が子供っぽいですね。,Điệu cần thiết với trẻ con là tình yêu âm ápleta cha me,ベトナム語,N3
95,性格が悪い,せいかくがわるい,Tính cách xấu,mời,cảm giác,Tính cách xấu,Tính cách xấu,かの女は美人の代わりに性格が悪い,Cô ấy thỉ có tài năng đặc biệt với việc thànhnhà âm nhạc,ベトナム語,N3
96,性格が暗い,せいかくがくらい,tính cách rầu rĩ,Mối quan hệ,tính cách rầu rĩ,tính cách rầu rĩ,tính cách rầu rĩ,彼の性格が暗いのは、ひとつにはさびしい,Com bão hôm qua (đã) ghế quá,ベトナム語,N3
97,性格が明るい,せいかくがあかるい,tính cách vui vẻ,cảm giác,tính cách vui vẻ,thừa,tính cách vui vẻ,完成格幕炎,Nếu đông người bắt nạt một người thì tối,ベトナム語,N3
98,男っぽい,おとこっぽ,tính chất đàn ông,không giữ,tha thứ,tính chất đàn ông,tính chất đàn ông,あの人が男っぽいだ,tham quan này chắc khoảng 5000 người.,ベトナム語,N3
99,冷たい,つめたい,lạnh lùng,lạnh lùng,vỗ,Đối phương,lạnh lùng,きすように冷たい北風,Con số chính xác thì không biết nhưng mà,ベトナム語,N3
100,細かい,こまかい,chi tiết,tha thứ,chi tiết,người quen,chi tiết,細かい徹子,"Người tài giỏi (ra dáng, tuyệt vời)",ベトナム語,N3
101,受付,うけつけ,Quầy lễ tân,Cuộc họp,Quầy lễ tân,năng lực,Quầy lễ tân,しんを受付てくれるようにきんりんのいしに頼む,Hãy yêu cầu chấp nhận yêu cầu của bạn,ベトナム語,N3
102,話し合う,はなしあう,"Nói chuyện,bàn",người đi,con dấu,"Nói chuyện,bàn","Nói chuyện,bàn",彼らはどうすれば学校をきれいにできるかを話し合った,nói chuyện bàn về trường học sạch sẽ,ベトナム語,N3
103,役割,やくわり,Vai trò,Vai trò,tha thứ,tính cách,Vai trò,じゅうような役割をはたす,hệ trọng và vai trò,ベトナム語,N3
104,儲かる,もうかる,Sinh lời,chi tiết,Sinh lời,Vai trò,Sinh lời,この品物はなん割儲かるか,mặc hàng này sinh lời ,ベトナム語,N3
105,期間,きかん,Thời gian,đến,tính cách,Thời gian,Thời gian,テスト期間ので、毎日遅くまで勉強している,thời gian kiểm tra đã hết,ベトナム語,N3
106,期限,きげん,Thời hạn,chi tiết,Thời hạn,Vai trò,Thời hạn,商品が締め期限,Hàng hoá hết thời gian,ベトナム語,N3
107,画面,がめん,màn hình,màn hình,tính cách,Vai trò,màn hình,パソコソの画面を見ていると、目が疲れる。,Nếu nhìn mãi màn hình sẽ mỏi mắt,ベトナム語,N3
108,件名,けんめい,chủ đề,Thời gian,chủ đề,chi tiết,chủ đề,メルの件名は、長ずぎないほうがいい,chủ đề e mail không nên quá dài,ベトナム語,N3
109,送信,そうしん,Việc gửi,màn hình,tính cách,Việc gửi,Việc gửi,さっき送信したメールは届いただろうか。,không biết e mail gửi lúc nãy đã đến chưa?,ベトナム語,N3
110,返信,へんしん,Việc trả lời,Việc trả lời,tính cách,Thời gian,Việc trả lời,仕事のメールは、できるだけ早く返信しよう。,Hãy trả lời nhanh chóng càng nhanh càng  tốt e mail công việc,ベトナム語,N3
111,やり取り,やりとり,sự trao đổi,chi tiết,sự trao đổi,Vai trò,sự trao đổi,毎日のように、メールをやり取りしている,mỗi ngày trao đổi tin nhắn,,
112,変換,へんかん,Sự biến đổi,Thời gian,chủ đề,Sự biến đổi,Sự biến đổi,彼のメールは漢字のへんかんみスがとても多い,anh ấy biến đổi nhiều chữ hán ,,
,,,,,, ,,,,,