.,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
,診察,しんさつ,Khám bệnh,Bác sĩ,Bệnh viện,Khám bệnh,Khám bệnh,診察時間は何時から何時までですか。,Thới gian khám bệnh từ mấy giờ đến mấy giờ?,ベトナム語,N3
,観察,かんさつ,"Quan sát, theo dõi",Quan sát,Tìm kiếm,Kiểm tra,Quan sát,その男の子は一日中、鳥を観察していた。,Cậu bé đã quan sát những con chim suốt cả ngày.,ベトナム語,N3
,違反,いはん,Vi phạm,Phản đối,Vi phạm,Kiểm tra,Vi phạm,ルールに違反して退場になった選手が３人もいる。,Ba cầu thủ bị đuổi khỏi sân vì phạm luật.,ベトナム語,N3
,反抗,はんこう,Phản kháng,Vi phạm,Phản kháng,Đồng tình,Phản kháng,子供は親に反抗するものです。,Con cái nổi loạn chống lại cha mẹ.,ベトナム語,N3
,欠陥,けっかん,"Khuyết điểm, thiếu sót, sai lầm",Khuyết điểm,Đồng tình,Phản đối,Khuyết điểm,このモデルには多くの欠陥車があります,Mẫu xe này có nhiều xe bị lỗi.,ベトナム語,N3
,命じる,めいじる,"Ban hành, bổ nhiệm, ra lệnh",hoàn thành,ra lệnh,Hướng dẫn,ra lệnh,母は私に今日は出かけないように命令した。,Hôm nay mẹ tôi ra lệnh cấm tôi ra ngoài.,ベトナム語,N3
,生命,せいめい,"Sinh mạng, Sự sống",Khám phá,Tìm kiếm,Sự sống,Sự sống,生命の起源については数多くの学説 がある。,Có rất nhiều giả thuyết về nguồn gốc của sự sống.,ベトナム語,N3
,場面,ばめん,"Cảnh, bối cảnh",bề mặt,Khó khăn,bối cảnh,bối cảnh,その場面はスローモーションで再生された。,Cảnh quay này được làm chậm lại.,ベトナム語,N3
,警告,けいこく,"Cảnh báo, cảnh cáo",phạm vi,Cảnh báo,Cảnh sát,Cảnh báo,医者は危険の可能性を警告する。,Các bác sĩ cảnh báo nguy hiểm có thể xảy ra.,ベトナム語,N3
,登山,とざん,leo núi,sân khấu,Lối vào,leo núi,leo núi,明日は登山の装備を準備します。,ngày mai chuẩn bị dụng cụ để leo núi.,ベトナム語,N3
,次々,つぎつぎ,"Lần lượt, nối tiếp",Tiếp tục,nối tiếp,Kết thúc,nối tiếp,次々に事件が起きた。,Một sự kiện này nối tiếp một sự kiện khác.,ベトナム語,N3
,与える,あたえる,"Cho ,đưa , tặng",Tặng,Vào,Quan sát,Tặng,成績の良い学生に奨学金をあたえる。,tặng học bổng cho học sinh giỏi,ベトナム語,N3
,両替,りょうがえ,đổi tiền,Chuyển tiền,Đếm tiền,đổi tiền,đổi tiền,両替所はどこですか。,Chỗ đổi tiền ở đâu?,ベトナム語,N3
,乗客,じょうきゃく,Hành khách .,Chuyến bay,Hành khách .,Du lịch,Hành khách .,乗客は一定量の荷物を機内に持ち込むことができる。,Hành khách có thể mang một lượng hành lý nhất định trên máy bay.,ベトナム語,N3
,予期,よき,"Mong đợi, kỳ vọng",kỳ vọng,Kiểm tra,Đồng tình,kỳ vọng,予期しない影響。,Sự ảnh hưởng không trong mong đợi.,ベトナム語,N3
,予算,よさん,ngân sách,chính xác,ngân sách,bề mặt,ngân sách,予算は不正確で、しかも非現実的に思える。,Ngân sách dường như không chính xác và không thực tế.,ベトナム語,N3
,予測,よそく,dự đoán (dự trên sự tưởng tượng hay suy luận),Tặng,dự đoán,Tìm kiếm,ước lượng,この予測は利率が変らないことを前提としています。,Dự đoán giả định rằng lãi suất không thay đổi.,ベトナム語,N3
,予報,よほう,dự báo,dự báo,Quan sát,Kiểm tra,dự báo,予報ではあすはくもりだ。,dự báo trời sẽ nhiều mây vào ngày mai.,ベトナム語,N3
,予防,よぼう,dự phòng,dự phòng,dự báo,kỳ vọng,dự phòng,予防は治療にはるかにまさる。,Phòng bệnh hơn chữa bệnh,ベトナム語,N3
,論争,ろんそう,"Tranh chấp, tranh luận",Tranh chấp,Hợp lý,kỳ vọng,Tranh chấp,論争にやっとけりが付いた。,Tranh chấp cuối cùng đã được giải quyết.,ベトナム語,N3
,互い,たがい,Cùng nhau(Cả hai bên),chính xác,Cùng nhau,Hành khách .,Cùng nhau,目標に向かってお互いがんばろうじゃないか！,hãy cùng nhau cố gắng hướng đến mục tiêu!,ベトナム語,N3
,外交,がいこう,"tử vong, chết",Sinh sống,Tử vong,dự báo,tử vong,死亡者が出なかったのは不幸中の幸いでした。,Thật may mắn khi không có trường hợp tử vong nào.,ベトナム語,N3
,交換,こうかん,"Chuyển đổi, trao đổi",phạm vi,Cảnh báo,trao đổi,trao đổi,お互いの言語を交換しましょう,Cùng nhau trao đổi ngôn ngữ nhé,ベトナム語,N3
,交際,こうさい,"Mối quan hệ (giao tế, giao du, tình bạn)",Mối quan hệ,bạn gái,người quen,Mối quan hệ,他人との交際が慎重な人,Người thận trọng khi giao tiếp với người khác,ベトナム語,N3
,流行,りゅうこう,"Sự lưu hành,Thịnh hành,phổ biến.",Kiểm tra,phổ biến,Hợp lý,phổ biến,風邪がとっても流行しているので、きをつけてください。,"Cảm lạnh rất phổ biến, vì vậy hãy cẩn thận.",ベトナム語,N3
,他人,たにん,"Người khác, người ngoài, người lạ",người lạ,Vào,Quan sát,người lạ,友達だと思って声をかけたら、全くの他人だった。,"Tôi gọi anh ấy vì tưởng anh ấy là bạn tôi, nhưng hóa ra anh ấy là một người hoàn toàn xa lạ.",ベトナム語,N3
,追い付く,おいつく,"Đuổi kịp,bắt kịp",Tìm kiếm,Đuổi kịp,đổi tiền,Đuổi kịp,僕は彼女に追い付こうと思って走った。,Tôi chạy theo cố đuổi kịp cô ấy.,ベトナム語,N3
,気付く,きづく,"Chú ý, để ý, lưu ý",Chú ý,Hợp lý,dự đoán,Chú ý,彼は彼女に気付くと「バル！」と叫んだ。,"""Val!"" anh hét lên khi cô ay để ý.",ベトナム語,N3
,寄付,きふ,"Sự cho, biếu tặng, quyên góp, ủng hộ, đóng góp",kỳ vọng,quyên góp,Đồng tình,quyên góp,多くの人々から寄付が寄せられた,Đã nhận được tiền quyên góp từ nhiều người,ベトナム語,N3
,付き合い,つきあい,"Sự kết hợp, mối quan hệ",chính xác,ngân sách,mối quan hệ,mối quan hệ,仕事がきっかけで付き合いがある,Mối quan hệ làm ăn,ベトナム語,N3
,付ける,つける,"Dính vào; thêm vào, châm lửa",châm lửa,dự đoán,Tìm kiếm,châm lửa,火を付ける,Châm lửa,ベトナム語,N3
,日付,ひづけ,Ngày tháng,tháng năm,Ngày tháng,Kiểm tra,Ngày tháng,日付は自分で書き込みなさい。,Tự  mình viết ngày tháng.,ベトナム語,N3
,事件,じけん,"Sự kiện, sự việc",dự phòng,dự báo,sự việc,sự việc,事件当時 、アンは会社にいた。,"Vào thời điểm xảy ra vụ việc, anh An đang ở công ty.",ベトナム語,N3
,条件,じょうけん,"Điều kiện, điều khoản",Tranh chấp,điều khoản,chính xác,điều khoản,契約の条件,Điều khoản hợp đồng .,ベトナム語,N3
,責任,せきにん,Trách nhiệm,chính xác,Cùng nhau,Trách nhiệm,Trách nhiệm,責任を取る,Đảm nhiệm trách nhiệm,ベトナム語,N3
,任せる,まかせる,Giao phó,Sinh sống,Giao phó,dự báo,Giao phó,君に任せるよ。,Tôi sẽ giao phó nó cho bạn.,ベトナム語,N3
,手伝い,てつだい,"Giúp đỡ, Hỗ trợ",Phản đối,Giúp đỡ,Kiểm tra,Giúp đỡ,手伝いましょう。,Để tôi giúp bạn một tay.,ベトナム語,N3
,伝統,でんとう,Truyền thống,Truyền thống,Quan sát,Đồng tình,Truyền thống,伝統を重しる,Coi trọng truyền thống.,ベトナム語,N3
,似合う,にあう,"Hợp, tương xứng",Hợp,chính xác,Tìm kiếm,Hợp,よく似合う帽子,Chiếc mũ rất hợp,ベトナム語,N3
,真似,まね,"Bắt chước, Mô phỏng",Bắt chước,Quan sát,Kiểm tra,Bắt chước,彼は人の真似がうまい。,Anh ta rất giỏi bắt chước người khác.,ベトナム語,N3